id,id_producto,peso,descripcion
3,2724,9.4,Fragil
0,3410,1.7,Sin descripcion
2,3061,7.2,Fragil
2,1416,5.1,Fragil
4,2521,9.2,Sin descripcion
0,3669,4.8,Sin descripcion
4,2885,8.0,Fragil
0,367,1.0,Sin descripcion
1,3459,7.9,Sin descripcion
0,1352,1.6,Fragil
1,2680,9.9,Sin descripcion
1,2573,9.8,Fragil
3,1896,8.6,Fragil
0,3176,1.0,Sin descripcion
4,3110,10.7,Sin descripcion
2,3691,7.4,Sin descripcion
2,3255,1.5,Fragil
2,468,3.5,Sin descripcion
1,2086,6.6,Fragil
1,1559,4.5,Sin descripcion
0,2928,6.9,Sin descripcion
1,763,5.3,Sin descripcion
0,1694,1.8,Fragil
4,3238,6.7,Sin descripcion
2,1047,4.3,Sin descripcion
2,3632,10.8,Fragil
0,3720,6.0,Fragil
3,701,9.0,Fragil
0,1520,1.5,Fragil
2,898,7.2,Fragil
1,1498,8.5,Fragil
1,2136,1.5,Fragil
2,2873,2.1,Fragil
1,1774,7.5,Sin descripcion
0,552,6.6,Fragil
0,3687,7.6,Fragil
0,816,10.5,Fragil
4,3351,5.2,Sin descripcion
1,10,2.8,Fragil
1,3509,10.6,Sin descripcion
1,2819,9.8,Fragil
0,3124,6.3,Fragil
0,1880,5.7,Fragil
0,3327,10.0,Fragil
3,1416,9.3,Fragil
2,1585,3.6,Sin descripcion
1,3516,8.3,Fragil
2,960,7.9,Sin descripcion
0,3561,5.4,Fragil
2,3526,6.5,Sin descripcion
1,935,1.8,Fragil
2,28,5.4,Fragil
1,2314,6.1,Sin descripcion
3,1632,5.9,Sin descripcion
0,55,7.8,Fragil
2,2309,4.1,Sin descripcion
3,1594,5.1,Sin descripcion
0,3213,8.9,Fragil
0,2588,2.5,Sin descripcion
0,709,4.1,Sin descripcion
1,967,3.1,Sin descripcion
2,3182,1.3,Sin descripcion
0,1972,2.4,Fragil
3,12,7.5,Fragil
2,3529,4.4,Sin descripcion
4,3473,7.9,Fragil
1,454,10.4,Fragil
0,3675,6.7,Fragil
1,167,3.4,Fragil
2,3111,1.7,Sin descripcion
2,1225,1.0,Sin descripcion
0,2836,4.7,Fragil
0,304,9.7,Sin descripcion
0,3646,1.4,Fragil
0,2980,1.7,Sin descripcion
1,3695,4.8,Fragil
0,3690,3.6,Sin descripcion
3,91,7.7,Sin descripcion
0,919,2.0,Fragil
0,2455,9.9,Sin descripcion
0,2462,1.3,Sin descripcion
0,756,4.9,Sin descripcion
1,2349,4.5,Sin descripcion
2,2107,2.6,Fragil
0,3286,8.1,Sin descripcion
3,1963,7.6,Fragil
2,1434,3.6,Fragil
0,2015,7.9,Sin descripcion
0,1553,2.4,Sin descripcion
3,3276,3.6,Sin descripcion
0,1804,4.1,Sin descripcion
2,1652,2.9,Sin descripcion
0,221,2.9,Fragil
1,3024,1.2,Fragil
4,152,9.8,Sin descripcion
2,1341,6.1,Fragil
0,668,5.8,Sin descripcion
0,3482,10.9,Sin descripcion
0,405,5.8,Sin descripcion
2,3490,7.8,Sin descripcion
0,2000,10.9,Sin descripcion
1,3640,7.7,Fragil
0,3265,8.8,Sin descripcion
2,2116,7.6,Fragil
3,1788,1.5,Fragil
0,2942,2.6,Fragil
0,3407,7.1,Fragil
1,2045,1.4,Sin descripcion
0,3394,3.7,Fragil
1,2312,7.9,Fragil
0,1075,8.1,Fragil
2,3251,1.5,Fragil
3,3598,3.8,Fragil
0,1297,6.1,Fragil
1,3668,10.1,Fragil
0,2559,5.1,Sin descripcion
1,1358,3.3,Sin descripcion
4,3126,4.6,Sin descripcion
2,3594,9.3,Sin descripcion
2,764,7.4,Sin descripcion
0,3263,9.0,Sin descripcion
0,3384,3.0,Sin descripcion
2,3121,2.5,Fragil
3,402,9.9,Fragil
1,3021,3.2,Fragil
1,1240,5.1,Sin descripcion
1,36,10.9,Fragil
0,1672,7.0,Sin descripcion
1,580,6.5,Fragil
0,755,6.6,Fragil
4,3395,10.1,Sin descripcion
3,3247,7.5,Sin descripcion
1,3339,5.2,Fragil
4,1809,5.9,Fragil
3,3471,9.2,Sin descripcion
0,2088,1.1,Sin descripcion
0,3160,9.2,Sin descripcion
1,1374,6.3,Sin descripcion
2,905,9.8,Sin descripcion
3,2047,7.2,Fragil
1,254,1.7,Sin descripcion
0,3650,3.0,Fragil
4,3050,5.2,Fragil
4,237,4.0,Fragil
1,516,8.5,Fragil
2,3304,7.7,Sin descripcion
1,2734,7.1,Fragil
0,1621,3.9,Sin descripcion
0,1635,1.0,Fragil
2,333,8.4,Sin descripcion
3,143,9.5,Fragil
0,857,3.5,Sin descripcion
0,1893,6.3,Sin descripcion
0,1390,9.9,Sin descripcion
2,2633,7.2,Fragil
0,1076,4.5,Sin descripcion
1,55,1.0,Fragil
1,859,10.3,Fragil
1,796,7.0,Fragil
0,3067,3.3,Sin descripcion
1,98,10.3,Fragil
1,1376,5.5,Fragil
2,2990,10.1,Sin descripcion
4,3464,9.4,Sin descripcion
2,2632,7.5,Fragil
3,3004,9.4,Fragil
1,3687,8.8,Sin descripcion
0,3170,4.9,Fragil
2,361,5.6,Sin descripcion
2,540,8.8,Sin descripcion
1,1964,7.3,Sin descripcion
0,2859,6.1,Fragil
1,3565,8.8,Sin descripcion
1,2302,2.8,Sin descripcion
2,314,4.8,Sin descripcion
0,1846,1.4,Fragil
4,1644,8.7,Sin descripcion
0,1946,1.7,Fragil
3,2201,8.6,Sin descripcion
1,3461,1.8,Fragil
0,3704,9.0,Fragil
4,1358,3.1,Sin descripcion
2,2532,2.2,Sin descripcion
1,3402,2.5,Sin descripcion
2,2829,5.8,Sin descripcion
0,2578,3.1,Fragil
1,757,10.3,Fragil
2,3220,1.4,Fragil
3,3533,9.1,Fragil
1,2450,9.5,Sin descripcion
3,427,7.9,Sin descripcion
4,3677,5.7,Fragil
3,3568,5.4,Fragil
2,2026,2.3,Sin descripcion
0,41,9.2,Fragil
0,1176,9.4,Fragil
1,3645,8.9,Fragil
1,584,3.2,Fragil
0,1526,7.8,Fragil
0,631,6.2,Fragil
2,3431,4.9,Sin descripcion
0,3217,1.6,Fragil
3,2203,10.0,Fragil
1,1017,5.2,Fragil
2,414,9.9,Fragil
1,2761,10.6,Fragil
0,3244,10.7,Sin descripcion
1,1354,10.4,Sin descripcion
3,2085,7.5,Fragil
4,2298,8.4,Sin descripcion
0,1348,9.6,Fragil
0,3195,5.6,Fragil
2,3320,5.5,Fragil
1,225,4.0,Sin descripcion
0,1220,4.6,Fragil
0,161,4.7,Fragil
0,1200,6.9,Fragil
3,1708,5.8,Sin descripcion
2,1809,4.2,Sin descripcion
2,1665,7.6,Sin descripcion
0,1051,2.8,Fragil
2,546,5.6,Sin descripcion
0,3334,7.7,Fragil
0,1138,3.1,Sin descripcion
2,817,5.5,Fragil
0,68,8.5,Sin descripcion
2,1772,1.8,Sin descripcion
1,2466,4.6,Fragil
2,2711,9.1,Fragil
1,3380,9.6,Sin descripcion
1,559,5.7,Fragil
0,2663,2.0,Fragil
4,3456,3.9,Fragil
3,771,4.2,Fragil
0,2174,1.6,Fragil
2,80,10.5,Fragil
1,1784,5.1,Fragil
2,1433,3.0,Fragil
1,2172,9.4,Sin descripcion
1,3451,2.5,Fragil
3,2633,8.9,Fragil
0,3007,8.7,Sin descripcion
0,3322,1.6,Fragil
2,2792,10.8,Sin descripcion
3,3610,5.6,Sin descripcion
1,491,7.1,Sin descripcion
1,1596,10.9,Fragil
1,1557,3.8,Sin descripcion
0,281,1.2,Sin descripcion
1,1830,10.8,Fragil
0,623,7.7,Sin descripcion
2,3131,7.4,Sin descripcion
0,3718,6.3,Fragil
2,1828,8.7,Fragil
0,0,3.3,Fragil
0,2006,1.2,Fragil
1,3061,4.3,Sin descripcion
0,2583,10.1,Fragil
0,1184,8.4,Sin descripcion
3,566,2.5,Fragil
1,3226,1.3,Sin descripcion
1,2118,3.1,Sin descripcion
0,3653,6.9,Sin descripcion
4,605,3.0,Sin descripcion
0,688,3.0,Fragil
2,961,10.7,Fragil
0,2881,9.9,Sin descripcion
0,324,7.8,Sin descripcion
1,3721,9.8,Sin descripcion
2,92,4.6,Fragil
2,3311,9.1,Sin descripcion
0,3169,7.1,Sin descripcion
0,2704,1.5,Sin descripcion
3,1977,4.6,Fragil
4,3416,9.9,Sin descripcion
0,935,1.8,Sin descripcion
1,2634,4.4,Sin descripcion
2,1861,8.8,Sin descripcion
3,1461,2.7,Sin descripcion
0,171,7.7,Fragil
3,1319,5.9,Fragil
3,3550,6.9,Sin descripcion
2,3235,3.1,Sin descripcion
0,3300,4.0,Sin descripcion
3,3041,4.8,Sin descripcion
2,3348,8.6,Sin descripcion
3,3651,1.7,Sin descripcion
3,3258,4.6,Fragil
0,3487,7.9,Sin descripcion
3,3645,1.9,Sin descripcion
2,1854,9.1,Fragil
2,3139,4.1,Sin descripcion
2,635,2.7,Sin descripcion
2,900,6.6,Sin descripcion
