id,id_personal,fecha_emision,fecha_expiracion,tipo
86,86,09/06/2018,09/06/2023,Clase C
184,184,25/02/2019,25/02/2024,Clase B
199,199,01/07/2020,01/07/2025,Clase B
9,9,06/11/2021,06/11/2026,Clase B
80,80,20/12/2021,20/12/2026,Clase A5
31,31,21/09/2020,21/09/2025,Clase A4
75,75,23/10/2019,23/10/2024,Clase A4
166,166,25/10/2021,25/10/2026,Clase B
117,117,08/01/2022,08/01/2027,Clase B
132,132,08/08/2020,08/08/2025,Clase B
177,177,29/08/2019,29/08/2024,Clase A5
16,16,22/09/2021,22/09/2026,Clase B
84,84,22/07/2018,22/07/2023,Clase B
8,8,23/01/2021,23/01/2026,Clase A5
168,168,08/04/2021,08/04/2026,Clase A4
18,18,15/01/2021,15/01/2026,Clase A4
157,157,15/04/2021,15/04/2026,Clase A5
167,167,25/07/2022,25/07/2027,Clase A4
77,77,07/10/2018,07/10/2023,Clase A5
58,58,25/06/2019,25/06/2024,Clase C
173,173,07/10/2018,07/10/2023,Clase A4
6,6,07/02/2018,07/02/2023,Clase A5
2,2,10/08/2019,10/08/2024,Clase A4
172,172,16/11/2019,16/11/2024,Clase C
48,48,20/05/2018,20/05/2023,Clase C
172,172,16/11/2019,16/11/2024,Clase C
94,94,25/08/2021,25/08/2026,Clase A5
10,10,24/11/2021,24/11/2026,Clase B
147,147,01/04/2019,01/04/2024,Clase A4
86,86,09/06/2018,09/06/2023,Clase C
181,181,17/11/2018,17/11/2023,Clase A4
118,118,07/01/2018,07/01/2023,Clase A5
54,54,28/04/2021,28/04/2026,Clase A4
4,4,22/02/2018,22/02/2023,Clase A5
93,93,01/09/2019,01/09/2024,Clase A5
0,0,21/07/2022,21/07/2027,Clase A5
60,60,16/05/2019,16/05/2024,Clase A5
105,105,04/05/2018,04/05/2023,Clase A4
160,160,06/09/2021,06/09/2026,Clase A5
112,112,02/08/2021,02/08/2026,Clase A4
144,144,06/01/2018,06/01/2023,Clase C
30,30,31/08/2019,31/08/2024,Clase C
90,90,25/07/2019,25/07/2024,Clase A4
139,139,18/05/2021,18/05/2026,Clase C
94,94,25/08/2021,25/08/2026,Clase A5
110,110,27/08/2022,27/08/2027,Clase A4
128,128,03/02/2022,03/02/2027,Clase C
119,119,22/01/2019,22/01/2024,Clase B
51,51,07/05/2019,07/05/2024,Clase B
8,8,23/01/2021,23/01/2026,Clase A5
181,181,17/11/2018,17/11/2023,Clase A4
148,148,08/11/2022,08/11/2027,Clase A5
195,195,15/11/2019,15/11/2024,Clase A4
45,45,19/10/2019,19/10/2024,Clase A5
69,69,07/04/2018,07/04/2023,Clase A5
123,123,04/07/2019,04/07/2024,Clase A4
183,183,27/02/2020,27/02/2025,Clase A4
26,26,05/03/2019,05/03/2024,Clase A4
54,54,28/04/2021,28/04/2026,Clase A4
54,54,28/04/2021,28/04/2026,Clase A4
81,81,15/05/2021,15/05/2026,Clase B
32,32,19/10/2018,19/10/2023,Clase C
193,193,10/02/2022,10/02/2027,Clase B
114,114,14/11/2022,14/11/2027,Clase C
171,171,20/07/2018,20/07/2023,Clase A5
185,185,19/02/2019,19/02/2024,Clase A5
137,137,12/04/2018,12/04/2023,Clase A5
58,58,25/06/2019,25/06/2024,Clase C
65,65,27/06/2021,27/06/2026,Clase B
184,184,25/02/2019,25/02/2024,Clase B
142,142,06/05/2020,06/05/2025,Clase A5
159,159,20/08/2020,20/08/2025,Clase A4
168,168,08/04/2021,08/04/2026,Clase A4
85,85,21/06/2018,21/06/2023,Clase A5
129,129,01/05/2020,01/05/2025,Clase B
195,195,15/11/2019,15/11/2024,Clase A4
191,191,15/07/2021,15/07/2026,Clase A4
122,122,02/08/2021,02/08/2026,Clase B
97,97,13/11/2021,13/11/2026,Clase A4
106,106,17/12/2022,17/12/2027,Clase A4
66,66,29/11/2018,29/11/2023,Clase B
49,49,10/12/2022,10/12/2027,Clase B
100,100,16/05/2020,16/05/2025,Clase A4
11,11,16/03/2018,16/03/2023,Clase B
114,114,14/11/2022,14/11/2027,Clase C
194,194,18/08/2019,18/08/2024,Clase B
80,80,20/12/2021,20/12/2026,Clase A5
83,83,17/06/2019,17/06/2024,Clase A4
41,41,20/07/2022,20/07/2027,Clase B
152,152,17/06/2022,17/06/2027,Clase C
27,27,29/04/2019,29/04/2024,Clase A4
155,155,29/07/2022,29/07/2027,Clase A5
156,156,11/08/2019,11/08/2024,Clase A5
178,178,28/11/2018,28/11/2023,Clase A4
45,45,19/10/2019,19/10/2024,Clase A5
189,189,10/07/2021,10/07/2026,Clase C
159,159,20/08/2020,20/08/2025,Clase A4
27,27,29/04/2019,29/04/2024,Clase A4
165,165,25/04/2022,25/04/2027,Clase B
108,108,09/08/2021,09/08/2026,Clase C
103,103,16/04/2019,16/04/2024,Clase B
65,65,27/06/2021,27/06/2026,Clase B
5,5,29/09/2020,29/09/2025,Clase C
192,192,16/12/2021,16/12/2026,Clase A5
194,194,18/08/2019,18/08/2024,Clase B
34,34,29/09/2018,29/09/2023,Clase A4
120,120,06/06/2022,06/06/2027,Clase C
167,167,25/07/2022,25/07/2027,Clase A4
70,70,23/07/2020,23/07/2025,Clase B
113,113,11/07/2020,11/07/2025,Clase C
148,148,08/11/2022,08/11/2027,Clase A5
177,177,29/08/2019,29/08/2024,Clase A5
140,140,13/01/2020,13/01/2025,Clase A4
149,149,08/10/2020,08/10/2025,Clase A4
64,64,26/06/2018,26/06/2023,Clase A4
85,85,21/06/2018,21/06/2023,Clase A5
0,0,21/07/2022,21/07/2027,Clase A5
153,153,17/05/2019,17/05/2024,Clase B
146,146,05/10/2020,05/10/2025,Clase A4
43,43,27/07/2020,27/07/2025,Clase B
121,121,01/02/2022,01/02/2027,Clase B
91,91,19/12/2018,19/12/2023,Clase A4
99,99,11/08/2019,11/08/2024,Clase C
172,172,16/11/2019,16/11/2024,Clase C
41,41,20/07/2022,20/07/2027,Clase B
40,40,31/10/2018,31/10/2023,Clase C
119,119,22/01/2019,22/01/2024,Clase B
65,65,27/06/2021,27/06/2026,Clase B
194,194,18/08/2019,18/08/2024,Clase B
79,79,09/05/2018,09/05/2023,Clase A4
14,14,13/10/2022,13/10/2027,Clase A4
72,72,24/08/2022,24/08/2027,Clase C
37,37,15/03/2020,15/03/2025,Clase A5
197,197,13/11/2020,13/11/2025,Clase A4
156,156,11/08/2019,11/08/2024,Clase A5
138,138,30/04/2022,30/04/2027,Clase B
174,174,11/02/2020,11/02/2025,Clase B
56,56,01/11/2018,01/11/2023,Clase A5
24,24,23/11/2018,23/11/2023,Clase A5
164,164,17/08/2020,17/08/2025,Clase B
165,165,25/04/2022,25/04/2027,Clase B
122,122,02/08/2021,02/08/2026,Clase B
147,147,01/04/2019,01/04/2024,Clase A4
113,113,11/07/2020,11/07/2025,Clase C
66,66,29/11/2018,29/11/2023,Clase B
175,175,19/01/2021,19/01/2026,Clase B
21,21,15/01/2019,15/01/2024,Clase A4
194,194,18/08/2019,18/08/2024,Clase B
91,91,19/12/2018,19/12/2023,Clase A4
94,94,25/08/2021,25/08/2026,Clase A5
189,189,10/07/2021,10/07/2026,Clase C
74,74,19/03/2022,19/03/2027,Clase B
55,55,06/06/2019,06/06/2024,Clase B
33,33,07/03/2020,07/03/2025,Clase A4
45,45,19/10/2019,19/10/2024,Clase A5
199,199,01/07/2020,01/07/2025,Clase B
68,68,09/12/2019,09/12/2024,Clase A5
72,72,24/08/2022,24/08/2027,Clase C
58,58,25/06/2019,25/06/2024,Clase C
187,187,12/01/2021,12/01/2026,Clase A4
31,31,21/09/2020,21/09/2025,Clase A4
41,41,20/07/2022,20/07/2027,Clase B
118,118,07/01/2018,07/01/2023,Clase A5
