id_caja,peso,descripcion
0,9.4,Fragil
1,1.7,Sin descripcion
2,7.2,Fragil
3,5.1,Fragil
4,9.2,Sin descripcion
5,4.8,Sin descripcion
6,8.0,Fragil
7,1.0,Sin descripcion
8,7.9,Sin descripcion
9,1.6,Fragil
10,9.9,Sin descripcion
11,9.8,Fragil
12,8.6,Fragil
13,1.0,Sin descripcion
14,10.7,Sin descripcion
15,7.4,Sin descripcion
16,1.5,Fragil
17,3.5,Sin descripcion
18,6.6,Fragil
19,4.5,Sin descripcion
20,6.9,Sin descripcion
21,5.3,Sin descripcion
22,1.8,Fragil
23,6.7,Sin descripcion
24,4.3,Sin descripcion
25,10.8,Fragil
26,6.0,Fragil
27,9.0,Fragil
28,1.5,Fragil
29,7.2,Fragil
30,8.5,Fragil
31,1.5,Fragil
32,2.1,Fragil
33,7.5,Sin descripcion
34,6.6,Fragil
35,7.6,Fragil
36,10.5,Fragil
37,5.2,Sin descripcion
38,2.8,Fragil
39,10.6,Sin descripcion
40,9.8,Fragil
41,6.3,Fragil
42,5.7,Fragil
43,10.0,Fragil
44,9.3,Fragil
45,3.6,Sin descripcion
46,8.3,Fragil
47,7.9,Sin descripcion
48,5.4,Fragil
49,6.5,Sin descripcion
50,1.8,Fragil
51,5.4,Fragil
52,6.1,Sin descripcion
53,5.9,Sin descripcion
54,7.8,Fragil
55,4.1,Sin descripcion
56,5.1,Sin descripcion
57,8.9,Fragil
58,2.5,Sin descripcion
59,4.1,Sin descripcion
60,3.1,Sin descripcion
61,1.3,Sin descripcion
62,2.4,Fragil
63,7.5,Fragil
64,4.4,Sin descripcion
65,7.9,Fragil
66,10.4,Fragil
67,6.7,Fragil
68,3.4,Fragil
69,1.7,Sin descripcion
70,1.0,Sin descripcion
71,4.7,Fragil
72,9.7,Sin descripcion
73,1.4,Fragil
74,1.7,Sin descripcion
75,4.8,Fragil
76,3.6,Sin descripcion
77,7.7,Sin descripcion
78,2.0,Fragil
79,9.9,Sin descripcion
80,1.3,Sin descripcion
81,4.9,Sin descripcion
82,4.5,Sin descripcion
83,2.6,Fragil
84,8.1,Sin descripcion
85,7.6,Fragil
86,3.6,Fragil
87,7.9,Sin descripcion
88,2.4,Sin descripcion
89,3.6,Sin descripcion
90,4.1,Sin descripcion
91,2.9,Sin descripcion
92,2.9,Fragil
93,1.2,Fragil
94,9.8,Sin descripcion
95,6.1,Fragil
96,5.8,Sin descripcion
97,10.9,Sin descripcion
98,5.8,Sin descripcion
99,7.8,Sin descripcion
100,10.9,Sin descripcion
101,7.7,Fragil
102,8.8,Sin descripcion
103,7.6,Fragil
104,1.5,Fragil
105,2.6,Fragil
106,7.1,Fragil
107,1.4,Sin descripcion
108,3.7,Fragil
109,7.9,Fragil
110,8.1,Fragil
111,1.5,Fragil
112,3.8,Fragil
113,6.1,Fragil
114,10.1,Fragil
115,5.1,Sin descripcion
116,3.3,Sin descripcion
117,4.6,Sin descripcion
118,9.3,Sin descripcion
119,7.4,Sin descripcion
120,9.0,Sin descripcion
121,3.0,Sin descripcion
122,2.5,Fragil
123,9.9,Fragil
124,3.2,Fragil
125,5.1,Sin descripcion
126,10.9,Fragil
127,7.0,Sin descripcion
128,6.5,Fragil
129,6.6,Fragil
130,10.1,Sin descripcion
131,7.5,Sin descripcion
132,5.2,Fragil
133,5.9,Fragil
134,9.2,Sin descripcion
135,1.1,Sin descripcion
136,9.2,Sin descripcion
137,6.3,Sin descripcion
138,9.8,Sin descripcion
139,7.2,Fragil
140,1.7,Sin descripcion
141,3.0,Fragil
142,5.2,Fragil
143,4.0,Fragil
144,8.5,Fragil
145,7.7,Sin descripcion
146,7.1,Fragil
147,3.9,Sin descripcion
148,1.0,Fragil
149,8.4,Sin descripcion
150,9.5,Fragil
151,3.5,Sin descripcion
152,6.3,Sin descripcion
153,9.9,Sin descripcion
154,7.2,Fragil
155,4.5,Sin descripcion
156,1.0,Fragil
157,10.3,Fragil
158,7.0,Fragil
159,3.3,Sin descripcion
160,10.3,Fragil
161,5.5,Fragil
162,10.1,Sin descripcion
163,9.4,Sin descripcion
164,7.5,Fragil
165,9.4,Fragil
166,8.8,Sin descripcion
167,4.9,Fragil
168,5.6,Sin descripcion
169,8.8,Sin descripcion
170,7.3,Sin descripcion
171,6.1,Fragil
172,8.8,Sin descripcion
173,2.8,Sin descripcion
174,4.8,Sin descripcion
175,1.4,Fragil
176,8.7,Sin descripcion
177,1.7,Fragil
178,8.6,Sin descripcion
179,1.8,Fragil
180,9.0,Fragil
181,3.1,Sin descripcion
182,2.2,Sin descripcion
183,2.5,Sin descripcion
184,5.8,Sin descripcion
185,3.1,Fragil
186,10.3,Fragil
187,1.4,Fragil
188,9.1,Fragil
189,9.5,Sin descripcion
190,7.9,Sin descripcion
191,5.7,Fragil
192,5.4,Fragil
193,2.3,Sin descripcion
194,9.2,Fragil
195,9.4,Fragil
196,8.9,Fragil
197,3.2,Fragil
198,7.8,Fragil
199,6.2,Fragil
200,4.9,Sin descripcion
201,1.6,Fragil
202,10.0,Fragil
203,5.2,Fragil
204,9.9,Fragil
205,10.6,Fragil
206,10.7,Sin descripcion
207,10.4,Sin descripcion
208,7.5,Fragil
209,8.4,Sin descripcion
210,9.6,Fragil
211,5.6,Fragil
212,5.5,Fragil
213,4.0,Sin descripcion
214,4.6,Fragil
215,4.7,Fragil
