ID_caja,id_producto,n_caja
0,2724,3
1,3410,0
2,3061,2
3,1416,2
4,2521,4
5,3669,0
6,2885,4
7,367,0
8,3459,1
9,1352,0
10,2680,1
11,2573,1
12,1896,3
13,3176,0
14,3110,4
15,3691,2
16,3255,2
17,468,2
18,2086,1
19,1559,1
20,2928,0
21,763,1
22,1694,0
23,3238,4
24,1047,2
25,3632,2
26,3720,0
27,701,3
28,1520,0
29,898,2
30,1498,1
31,2136,1
32,2873,2
33,1774,1
34,552,0
35,3687,0
36,816,0
37,3351,4
38,10,1
39,3509,1
40,2819,1
41,3124,0
42,1880,0
43,3327,0
44,1416,3
45,1585,2
46,3516,1
47,960,2
48,3561,0
49,3526,2
50,935,1
51,28,2
52,2314,1
53,1632,3
54,55,0
55,2309,2
56,1594,3
57,3213,0
58,2588,0
59,709,0
60,967,1
61,3182,2
62,1972,0
63,12,3
64,3529,2
65,3473,4
66,454,1
67,3675,0
68,167,1
69,3111,2
70,1225,2
71,2836,0
72,304,0
73,3646,0
74,2980,0
75,3695,1
76,3690,0
77,91,3
78,919,0
79,2455,0
80,2462,0
81,756,0
82,2349,1
83,2107,2
84,3286,0
85,1963,3
86,1434,2
87,2015,0
88,1553,0
89,3276,3
90,1804,0
91,1652,2
92,221,0
93,3024,1
94,152,4
95,1341,2
96,668,0
97,3482,0
98,405,0
99,3490,2
100,2000,0
101,3640,1
102,3265,0
103,2116,2
104,1788,3
105,2942,0
106,3407,0
107,2045,1
108,3394,0
109,2312,1
110,1075,0
111,3251,2
112,3598,3
113,1297,0
114,3668,1
115,2559,0
116,1358,1
117,3126,4
118,3594,2
119,764,2
120,3263,0
121,3384,0
122,3121,2
123,402,3
124,3021,1
125,1240,1
126,36,1
127,1672,0
128,580,1
129,755,0
130,3395,4
131,3247,3
132,3339,1
133,1809,4
134,3471,3
135,2088,0
136,3160,0
137,1374,1
138,905,2
139,2047,3
140,254,1
141,3650,0
142,3050,4
143,237,4
144,516,1
145,3304,2
146,2734,1
147,1621,0
148,1635,0
149,333,2
150,143,3
151,857,0
152,1893,0
153,1390,0
154,2633,2
155,1076,0
156,55,1
157,859,1
158,796,1
159,3067,0
160,98,1
161,1376,1
162,2990,2
163,3464,4
164,2632,2
165,3004,3
166,3687,1
167,3170,0
168,361,2
169,540,2
170,1964,1
171,2859,0
172,3565,1
173,2302,1
174,314,2
175,1846,0
176,1644,4
177,1946,0
178,2201,3
179,3461,1
180,3704,0
181,1358,4
182,2532,2
183,3402,1
184,2829,2
185,2578,0
186,757,1
187,3220,2
188,3533,3
189,2450,1
190,427,3
191,3677,4
192,3568,3
193,2026,2
194,41,0
195,1176,0
196,3645,1
197,584,1
198,1526,0
199,631,0
200,3431,2
201,3217,0
202,2203,3
203,1017,1
204,414,2
205,2761,1
206,3244,0
207,1354,1
208,2085,3
209,2298,4
210,1348,0
211,3195,0
212,3320,2
213,225,1
214,1220,0
215,161,0
216,1200,0
217,1708,3
218,1809,2
219,1665,2
220,1051,0
221,546,2
222,3334,0
223,1138,0
224,817,2
225,68,0
226,1772,2
227,2466,1
228,2711,2
229,3380,1
230,559,1
231,2663,0
232,3456,4
233,771,3
234,2174,0
235,80,2
236,1784,1
237,1433,2
238,2172,1
239,3451,1
240,2633,3
241,3007,0
242,3322,0
243,2792,2
244,3610,3
245,491,1
246,1596,1
247,1557,1
248,281,0
249,1830,1
250,623,0
251,3131,2
252,3718,0
253,1828,2
254,0,0
255,2006,0
256,3061,1
257,2583,0
258,1184,0
259,566,3
260,3226,1
261,2118,1
262,3653,0
263,605,4
264,688,0
265,961,2
266,2881,0
267,324,0
268,3721,1
269,92,2
270,3311,2
271,3169,0
272,2704,0
273,1977,3
274,3416,4
275,935,0
276,2634,1
277,1861,2
278,1461,3
279,171,0
280,1319,3
281,3550,3
282,3235,2
283,3300,0
284,3041,3
285,3348,2
286,3651,3
287,3258,3
288,3487,0
289,3645,3
290,1854,2
291,3139,2
292,635,2
293,900,2
294,1517,0
295,1653,2
296,2972,1
297,2739,3
298,3494,0
299,1655,0
300,1321,3
301,3216,2
302,3160,4
303,3061,0
304,1641,4
305,3376,0
306,3492,0
307,1980,2
308,1974,2
309,965,2
310,1704,3
311,1114,2
312,1303,3
313,1311,3
314,1818,3
315,2090,3
316,1218,4
317,3562,1
318,324,2
319,1164,1
320,944,2
321,1715,0
322,3151,0
323,2720,0
324,1450,2
325,2299,0
326,2672,0
327,3252,1
328,1525,1
329,3168,0
330,2990,1
331,2442,0
332,1400,3
333,2060,2
334,1779,1
335,918,2
336,1566,1
337,984,0
338,2742,0
339,2644,2
340,1827,0
341,3164,0
342,1650,3
343,442,2
344,3411,0
345,3575,2
346,1937,2
347,3367,1
348,988,1
349,3162,1
350,637,1
351,2068,3
352,3077,0
353,3453,2
354,1590,3
355,3545,1
356,2055,0
357,449,0
358,3717,1
359,2237,3
360,708,3
361,582,0
362,1676,2
363,3033,2
364,3561,2
365,2715,3
366,3609,0
367,3658,3
368,1511,0
369,311,2
370,3423,1
371,2060,1
372,2815,2
373,1372,0
374,1124,2
375,3570,0
376,2574,2
377,826,3
378,3418,3
379,3622,0
380,3524,1
381,1221,3
382,3453,2
383,93,1
384,2911,0
385,55,1
386,2827,0
387,688,3
388,1600,2
389,1557,2
390,2717,0
391,2271,0
392,1664,1
393,2194,0
394,3424,0
395,460,2
396,1726,2
397,3517,2
398,2544,2
399,961,4
400,3573,0
401,3452,1
402,2964,1
403,1206,0
404,3250,0
405,2,0
406,2859,2
407,3048,3
408,1648,0
409,1474,3
410,2967,0
411,3182,1
412,93,2
413,3100,1
414,166,1
415,2232,3
416,1926,1
417,1134,1
418,2749,0
419,598,1
420,2660,0
421,1665,0
422,3506,0
423,1770,1
424,2806,0
425,3555,0
426,3077,4
427,3516,0
428,1597,1
429,625,1
430,630,0
431,2053,1
432,1368,0
433,3206,1
434,3572,2
435,1859,0
436,1871,3
437,2826,2
438,2108,2
439,2995,0
440,1751,2
441,2826,4
442,3153,1
443,1707,1
444,1574,0
445,3139,1
446,223,1
447,440,0
448,3709,1
449,3350,0
450,2091,0
451,3050,0
452,549,1
453,3182,3
454,482,0
455,3408,0
456,13,1
457,260,3
458,1533,2
459,3436,0
460,1704,0
461,3324,3
462,943,3
463,2689,0
464,737,4
465,3282,4
466,2607,4
467,3241,3
468,3336,1
469,2929,2
470,2544,3
471,3009,1
472,298,3
473,1361,2
474,3447,0
475,1502,0
476,1709,1
477,2117,2
478,3168,1
479,3727,1
480,3539,0
481,2684,0
482,226,0
483,1281,1
484,1813,1
485,182,1
486,1327,3
487,42,0
488,553,1
489,3150,0
490,1868,2
491,2414,1
492,1778,0
493,3275,0
494,3402,3
495,691,2
496,2538,0
497,2758,4
498,3640,2
499,3550,1
500,3606,4
501,2735,0
502,2570,0
503,182,3
504,3223,0
505,2760,2
506,2784,2
507,3524,0
508,911,0
509,276,1
510,359,0
511,2907,0
512,1853,1
513,204,0
514,1271,1
515,3100,0
516,3598,4
517,2998,0
518,3052,2
519,1861,1
520,3416,2
521,3255,1
522,3035,2
523,2838,2
524,2309,1
525,1044,0
526,3165,1
527,874,2
528,3026,1
529,3035,2
530,2933,3
531,3504,3
532,494,0
533,99,1
534,2379,1
535,905,0
536,0,0
537,395,2
538,3656,2
539,635,3
540,1010,1
541,3290,4
542,3382,0
543,455,4
544,3006,2
545,723,1
546,1805,3
547,7,0
548,779,2
549,1485,3
550,3647,2
551,138,0
552,3470,1
553,132,3
554,1687,0
555,1495,4
556,3021,3
557,3240,0
558,846,1
559,3429,0
560,749,0
561,3539,1
562,3642,2
563,3275,4
564,1917,2
565,2367,3
566,3662,4
567,1641,1
568,2184,0
569,1630,0
570,3236,3
571,1223,0
572,3304,0
573,3079,1
574,475,2
575,2443,2
576,621,2
577,3118,0
578,3320,2
579,1284,3
580,848,0
581,1366,2
582,656,0
583,2381,0
584,3203,2
585,3106,3
586,1341,0
587,747,1
588,3302,3
589,501,3
590,376,2
591,2430,0
592,2202,0
593,1570,2
594,788,3
595,196,1
596,568,0
597,729,0
598,647,1
599,666,2
600,3079,2
601,3284,0
602,3190,0
603,2414,0
604,1153,2
605,2570,1
606,3204,1
607,1861,4
608,2533,1
609,3459,2
610,472,0
611,955,0
612,900,1
613,329,1
614,53,2
615,1120,0
616,3300,0
617,3153,0
618,1209,3
619,3051,3
620,3260,1
621,243,0
622,1534,4
623,3373,1
624,3668,4
625,3138,0
626,473,0
627,594,0
628,2548,1
629,796,3
630,3456,0
631,3167,1
632,3347,2
633,1439,2
634,1570,1
635,3230,1
636,304,1
637,1237,0
638,1791,1
639,3433,1
640,1638,0
641,886,1
642,2698,0
643,1447,4
644,1474,0
645,1823,1
646,3086,0
647,1468,1
648,3111,2
649,2662,4
650,3619,3
651,1377,2
652,3631,1
653,430,0
654,1284,4
655,1283,2
656,3249,1
657,3702,0
658,3536,1
659,35,4
660,3351,1
661,3432,0
662,3447,1
663,1198,2
664,1900,3
665,3385,1
666,2819,2
667,2763,0
668,604,3
669,3627,0
670,2312,0
671,347,0
672,3648,0
673,651,1
674,941,1
675,3679,1
676,2206,0
677,2508,0
678,828,0
679,1224,3
680,1968,1
681,1975,1
682,3378,2
683,1298,3
684,3283,1
685,1425,0
686,116,0
687,626,4
688,703,3
689,3398,1
690,178,1
691,2549,2
692,3462,2
693,1261,2
694,2404,1
695,3601,3
696,3288,4
697,2413,0
698,2750,0
699,91,2
700,1509,1
701,3343,2
702,2170,3
703,3145,1
704,40,3
705,344,1
706,3711,0
707,2099,0
708,1529,0
709,466,1
710,1215,0
711,683,1
712,1513,0
713,1014,4
714,835,1
715,798,2
716,2576,3
717,1181,0
718,3087,1
719,77,4
720,2284,1
721,966,0
722,1818,1
723,1146,0
724,1217,4
725,2295,3
726,3117,1
727,837,3
728,2068,0
729,204,1
730,383,0
731,3496,3
732,2543,1
733,383,4
734,2808,1
735,3098,4
736,1848,1
737,1531,0
738,3061,3
739,3683,1
740,3521,0
741,62,1
742,3614,2
743,2749,2
744,1880,2
745,2097,4
746,1187,4
747,1083,0
748,3094,2
749,3423,2
750,3149,3
751,3011,0
752,1825,1
753,2106,1
754,1440,0
755,1597,0
756,2390,2
757,362,2
758,1030,1
759,3478,0
760,2864,1
761,2280,0
762,3175,3
763,3072,1
764,3055,3
765,637,0
766,1963,2
767,1646,2
768,3035,1
769,1878,3
770,1011,0
771,3215,0
772,2458,1
773,801,1
774,2559,1
775,2299,2
776,1671,1
777,1588,2
778,743,2
779,40,1
780,3156,1
781,828,3
782,3264,4
783,3586,3
784,2225,1
785,1853,0
786,3375,1
787,3520,2
788,496,4
789,890,3
790,40,0
791,301,2
792,2234,1
793,3354,2
794,2491,1
795,2920,2
796,3497,2
797,1407,0
798,1951,2
799,1060,1
800,177,3
801,3310,1
802,42,1
803,1952,3
804,3625,1
805,334,1
806,92,0
807,840,2
808,2738,1
809,3041,2
810,1155,1
811,1640,0
812,3631,4
813,611,1
814,3552,2
815,138,1
816,1609,3
817,2999,1
818,554,1
819,192,2
820,2872,0
821,3282,2
822,19,1
823,3045,0
824,1039,1
825,2716,1
826,341,3
827,2473,1
828,1935,3
829,1426,1
830,2143,0
831,3624,2
832,3276,2
833,2023,0
834,3207,1
835,2465,3
836,1139,0
837,3484,0
838,250,3
839,3413,3
840,3297,2
841,1616,1
842,1477,0
843,3275,2
844,2585,3
845,2953,0
846,79,0
847,3264,0
848,616,1
849,3387,0
850,1834,2
851,3428,4
852,3172,1
853,308,3
854,3573,0
855,3155,0
856,605,2
857,3583,0
858,3136,1
859,132,0
860,354,1
861,1020,0
862,792,1
863,73,2
864,816,1
865,2260,0
866,3085,3
867,2867,1
868,2846,0
869,3477,4
870,3084,3
871,589,4
872,2492,3
873,3448,0
874,574,2
875,1174,3
876,345,1
877,2957,1
878,3335,3
879,797,0
880,395,0
881,3148,2
882,1748,1
883,2090,4
884,3360,0
885,3325,1
886,3110,0
887,110,1
888,2593,0
889,1168,1
890,358,1
891,1271,0
892,3497,1
893,1116,1
894,2524,1
895,1811,0
896,2722,0
897,3334,4
898,1451,0
899,3129,1
900,3324,0
901,3700,1
902,1414,0
903,2084,1
904,2358,0
905,293,0
906,1021,3
907,959,2
908,2952,0
909,1902,2
910,3202,1
911,1726,1
912,210,1
913,664,3
914,583,4
915,3089,1
916,1034,0
917,2556,2
918,524,0
919,3137,1
920,113,1
921,1487,4
922,3265,0
923,3560,1
924,2092,1
925,1560,0
926,2179,0
927,2024,2
928,158,1
929,2895,1
930,1371,0
931,266,0
932,3436,2
933,2010,2
934,3489,0
935,3287,4
936,1885,0
937,2713,0
938,930,1
939,1092,1
940,2376,4
941,697,1
942,2531,0
943,1904,1
944,1112,1
945,96,2
946,3705,1
947,1561,1
948,3031,2
949,1684,1
950,3175,0
951,1766,0
952,3624,1
953,1572,1
954,2496,0
955,1196,0
956,1217,0
957,474,1
958,3177,0
959,212,3
960,192,3
961,3023,0
962,3435,0
963,2518,0
964,3255,0
965,765,3
966,3167,0
967,3610,2
968,2488,1
969,2078,1
970,201,0
971,3623,2
972,3239,4
973,2411,1
974,655,3
975,3134,1
976,3297,2
977,594,1
978,1885,1
979,3078,2
980,2507,1
981,2013,0
982,1239,2
983,1241,0
984,3533,0
985,100,2
986,1799,3
987,1755,0
988,2196,2
989,94,0
990,3626,0
991,696,3
992,1803,0
993,2059,0
994,3020,3
995,1321,1
996,3083,3
997,1856,0
998,288,3
999,1817,3
1000,1791,0
1001,2450,3
1002,3051,0
1003,3375,1
1004,3535,4
1005,1919,1
1006,2038,0
1007,3498,1
1008,3104,4
1009,3169,0
1010,38,0
1011,1125,2
1012,484,0
1013,3688,3
1014,1701,1
1015,351,1
1016,697,3
1017,1227,1
1018,3051,1
1019,3050,4
1020,3589,0
1021,1643,2
1022,3172,1
1023,3471,2
1024,1825,2
1025,421,3
1026,3654,2
1027,3282,0
1028,1447,1
1029,1594,1
1030,2249,0
1031,2690,0
1032,2685,0
1033,2788,4
1034,3207,0
1035,1676,4
1036,3105,1
1037,3342,3
1038,601,0
1039,3040,2
1040,1483,0
1041,3617,0
1042,3396,1
1043,1906,0
1044,341,4
1045,1335,0
1046,1457,3
1047,54,0
1048,3427,0
1049,3643,2
1050,2977,1
1051,3664,2
1052,97,0
1053,3402,2
1054,2050,1
1055,66,0
1056,2063,0
1057,1467,2
1058,3525,0
1059,3260,2
1060,453,2
1061,2290,0
1062,1295,0
1063,1260,4
1064,3027,2
1065,1412,2
1066,3727,0
1067,3058,2
1068,2972,0
1069,3060,2
1070,1292,1
1071,3048,4
1072,2707,0
1073,66,1
1074,267,2
1075,3333,1
1076,3586,2
1077,1294,2
1078,1005,2
1079,1709,3
1080,3477,1
1081,2486,3
1082,2238,3
1083,2274,3
1084,3393,0
1085,2698,3
1086,1628,2
1087,1203,0
1088,258,0
1089,1507,2
1090,3639,3
1091,3109,2
1092,3414,0
1093,3095,1
1094,1489,2
1095,17,0
1096,1278,0
1097,3474,3
1098,1232,2
1099,246,4
1100,3567,1
1101,1726,0
1102,535,0
1103,510,2
1104,3673,1
1105,1457,1
1106,2445,2
1107,2920,0
1108,2359,1
1109,901,4
1110,215,4
1111,3040,0
1112,2937,0
1113,1172,0
1114,3464,0
1115,1933,2
1116,3669,2
1117,3375,2
1118,3252,2
1119,3576,3
1120,1612,1
1121,928,1
1122,3036,1
1123,701,2
1124,1770,4
1125,2129,0
1126,27,1
1127,70,1
1128,3337,0
1129,231,3
1130,3347,0
1131,2241,4
1132,1919,2
1133,2240,0
1134,500,0
1135,2554,0
1136,3551,2
1137,1203,2
1138,1316,2
1139,775,0
1140,139,1
1141,3163,3
1142,3627,0
1143,3264,0
1144,1123,1
1145,3278,0
1146,373,2
1147,745,0
1148,3059,1
1149,80,2
1150,3488,0
1151,2315,1
1152,629,1
1153,1490,2
1154,1480,4
1155,1317,0
1156,3091,0
1157,604,4
1158,974,2
1159,3247,2
1160,110,2
1161,3141,0
1162,2480,0
1163,459,1
1164,3597,1
1165,767,2
1166,885,0
1167,39,0
1168,79,1
1169,625,2
1170,3013,3
1171,3476,0
1172,1550,1
1173,2353,1
1174,2268,1
1175,3410,3
1176,3557,1
1177,107,0
1178,574,1
1179,3015,1
1180,3542,0
1181,3219,0
1182,2901,1
1183,3637,0
1184,2648,3
1185,3674,1
1186,1405,0
1187,3588,0
1188,2494,3
1189,3131,0
1190,506,0
1191,3412,0
1192,3681,1
1193,3069,0
1194,421,0
1195,3081,0
1196,3181,0
1197,1564,2
1198,167,2
1199,3427,3
1200,1715,2
1201,3557,3
1202,3678,2
1203,2788,0
1204,2633,0
1205,3631,1
1206,3261,0
1207,239,0
1208,433,0
1209,143,1
1210,2185,4
1211,2756,4
1212,2260,2
1213,1528,1
1214,1041,1
1215,43,3
1216,1035,1
1217,3517,2
1218,1009,1
1219,3246,0
1220,2402,2
1221,3598,3
1222,2465,0
1223,2128,0
1224,3331,0
1225,2032,0
1226,2374,1
1227,2921,1
1228,3198,2
1229,1282,0
1230,2903,0
1231,2513,1
1232,3533,0
1233,130,2
1234,3581,0
1235,1128,1
1236,1530,3
1237,96,4
1238,2581,3
1239,417,1
1240,2492,0
1241,2519,4
1242,3060,0
1243,2753,2
1244,1531,2
1245,3111,0
1246,3245,3
1247,3062,1
1248,1425,3
1249,3571,2
1250,872,0
1251,2789,1
1252,3619,0
1253,2386,2
1254,3554,3
1255,1927,1
1256,2252,1
1257,3253,1
1258,420,0
1259,3185,0
1260,3462,0
1261,1261,0
1262,246,1
1263,1690,2
1264,566,4
1265,1146,1
1266,3572,0
1267,2958,0
1268,1221,2
1269,923,2
1270,2263,2
1271,3092,1
1272,1737,4
1273,3626,1
1274,208,1
1275,3463,0
1276,2066,2
1277,1544,0
1278,3518,1
1279,2260,1
1280,3655,0
1281,2817,1
1282,3148,2
1283,320,1
1284,1858,0
1285,70,2
1286,3449,4
1287,3025,0
1288,2922,0
1289,932,1
1290,242,1
1291,2069,1
1292,3567,0
1293,1025,0
1294,929,1
1295,1516,1
1296,3140,0
1297,3200,0
1298,3402,4
1299,1904,2
1300,3648,0
1301,3649,0
1302,3005,1
1303,3632,0
1304,3448,0
1305,2860,0
1306,2151,0
1307,456,3
1308,3420,1
1309,3055,2
1310,433,1
1311,3390,2
1312,3058,0
1313,3062,1
1314,3670,0
1315,1092,4
1316,2976,4
1317,1266,0
1318,1369,4
1319,983,3
1320,2276,1
1321,3455,2
1322,534,2
1323,3117,0
1324,80,4
1325,3727,1
1326,1085,1
1327,2327,1
1328,3335,2
1329,14,0
1330,2319,1
1331,2042,1
1332,708,0
1333,3598,1
1334,2354,0
1335,3626,1
1336,104,0
1337,813,1
1338,1015,1
1339,3302,4
1340,2341,3
1341,2141,1
1342,896,2
1343,2225,2
1344,3197,2
1345,1714,1
1346,35,0
1347,3529,1
1348,966,2
1349,3434,0
1350,2121,3
1351,1624,0
1352,3513,4
1353,607,4
1354,578,0
1355,3261,4
1356,2142,1
1357,2121,1
1358,2171,1
1359,3549,0
1360,2141,2
1361,2542,1
1362,1759,0
1363,3595,0
1364,478,0
1365,2982,0
1366,1490,1
1367,1408,1
1368,3620,3
1369,1758,1
1370,3209,0
1371,3192,0
1372,228,0
1373,3329,1
1374,3606,3
1375,140,0
1376,2607,3
1377,2979,2
1378,1403,0
1379,2623,0
1380,1809,0
1381,43,2
1382,1262,2
1383,3599,0
1384,3532,3
1385,2936,0
1386,151,0
1387,243,1
1388,698,0
1389,1984,1
1390,3649,0
1391,3324,3
1392,1762,2
1393,3484,3
1394,3428,1
1395,2012,2
1396,1963,1
1397,3205,0
1398,3690,0
1399,431,2
1400,1674,2
1401,3263,4
1402,2408,0
1403,3587,0
1404,1557,0
1405,3353,1
1406,3301,1
1407,3244,4
1408,2073,2
1409,2165,0
1410,230,0
1411,35,3
1412,1158,1
1413,3161,2
1414,3654,1
1415,3473,2
1416,3235,3
1417,2645,0
