id,nombre,precio,numero_cajas,tipo,tamaño,color,descripcion,dimensiones,material,carga,frecuencia,potencia,tension
1511,MELLTORP / ADDE,287200,2,living,,,,6x7x1,Madera,13,,,
2755,SANDARED,276000,1,living,,,,5x5x6,Reciclado,43,,,
2879,PÅHL,340000,1,living,,,,8x2x10,Plastico,31,,,
2800,FINNVARD,128000,4,living,,,,9x6x3,Organico,15,,,
276,HYLLIS,109600,2,dormitorio,Pequeño,Azul,Sin descripcion,,,,,,
2474,NORSBORG,1088000,2,living,,,,8x1x6,Organico,11,,,
3715,Reflector LED 150W,79990,2,iluminacion,,Blanco frío,Sin descripcion,,,,50,150,120
2231,GRÖNLID,1756000,1,living,,,,5x3x2,Organico,21,,,
1889,STUVA / FRITIDS,316000,1,dormitorio,Mediano,Azul,Uno de los productos mas vendidos,,,,,,
398,HEMNES,3188800,3,dormitorio,Pequeño,Verde,Sin descripcion,,,,,,
2077,TRANARÖ,76000,3,living,,,,1x4x7,Reciclado,23,,,
1687,NORDLI,784000,5,dormitorio,Pequeño,Azul,Sin descripcion,,,,,,
668,HAVSTA,64000,1,dormitorio,Pequeño,Amarillo,Uno de los productos mas vendidos,,,,,,
1989,TÄRNÖ,71200,1,living,,,,6x10x3,Reciclado,15,,,
2419,NYHAMN,480000,3,living,,,,5x1x9,Plastico,38,,,
1807,TROFAST,12000,2,dormitorio,Grande,Verde,Uno de los productos mas vendidos,,,,,,
1885,ANTILOP,16000,3,dormitorio,Mediano,Amarillo,Sin descripcion,,,,,,
788,JONAXEL,780000,4,dormitorio,Pequeño,Verde,Uno de los productos mas vendidos,,,,,,
2750,NORDKISA,380800,5,living,,,,3x8x5,Madera,30,,,
2023,SOLLERÖN,276000,1,living,,,,5x7x2,Reciclado,36,,,
2581,LIDHULT,4032000,5,living,,,,1x1x10,Madera,46,,,
3538,PAX / TYSSEDAL,4852000,2,dormitorio,Grande,Amarillo,Uno de los productos mas vendidos,,,,,,
3223,EKEDALEN / ODGER,2212000,4,living,,,,2x4x6,Organico,23,,,
2113,MAMMUT,47200,3,living,,,,3x3x4,Organico,16,,,
3672,PAX,2444000,3,dormitorio,Grande,Amarillo,Uno de los productos mas vendidos,,,,,,
2550,GRÖNLID,2832000,4,living,,,,10x4x8,Plastico,22,,,
2874,HEMNES,300000,5,living,,,,6x6x3,Madera,49,,,
2459,GRÖNLID,716000,2,living,,,,1x8x6,Organico,6,,,
3292,BESTÅ,1120000,1,living,,,,2x2x7,Reciclado,12,,,
2664,MICKE,552000,1,living,,,,7x7x3,Plastico,20,,,
2086,SJÄLLAND,1343200,5,living,,,,10x6x3,Reciclado,10,,,
2853,NORRÅKER,476800,3,living,,,,4x3x10,Madera,16,,,
1964,TOSTERÖ,63200,2,living,,,,5x7x5,Madera,15,,,
1884,SUNDVIK,796000,5,dormitorio,Mediano,Amarillo,Uno de los productos mas vendidos,,,,,,
529,BESTÅ,20000,1,dormitorio,Grande,Amarillo,Uno de los productos mas vendidos,,,,,,
1758,TROFAST,316000,3,dormitorio,Mediano,Verde,Sin descripcion,,,,,,
2288,FÄRLÖV,1468800,3,living,,,,10x5x1,Organico,19,,,
3218,NORRÅKER / RÖNNINGE,1580800,4,living,,,,10x7x8,Reciclado,13,,,
3020,ÖVRARYD / JANINGE,1228000,4,living,,,,2x5x10,Madera,42,,,
9,EKEDALEN / EKEDALEN,1740800,2,living,,,,1x1x7,Organico,12,,,
3549,PAX,1856000,1,dormitorio,Mediano,Violeta,Sin descripcion,,,,,,
3335,BRIMNES,656000,4,living,,,,6x8x5,Reciclado,26,,,
2222,SÖDERHAMN,1596000,2,living,,,,7x8x2,Madera,9,,,
2589,LIDHULT,6298400,4,living,,,,5x6x7,Plastico,28,,,
2511,VIMLE,412000,3,living,,,,10x5x4,Plastico,3,,,
1010,BESTÅ,1176000,2,living,,,,5x10x1,Plastico,6,,,
2970,EKEDALEN / BERNHARD,4372000,3,living,,,,4x5x4,Madera,12,,,
3597,PAX,1736000,2,dormitorio,Grande,Violeta,Uno de los productos mas vendidos,,,,,,
2194,HAVSTA,1116000,2,living,,,,5x9x4,Organico,33,,,
2470,LIDHULT,2486400,4,living,,,,1x7x9,Organico,41,,,
2243,NYHAMN,1176000,4,living,,,,4x4x2,Reciclado,3,,,
679,UPPLEVA,159200,5,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
1970,ÄPPLARÖ,204000,1,living,,,,1x7x10,Plastico,34,,,
52,SLÄKT,432000,1,dormitorio,Mediano,Azul,Sin descripcion,,,,,,
1314,VALLENTUNA,1174400,3,living,,,,3x2x6,Plastico,18,,,
2114,MAMMUT,23200,4,living,,,,8x10x1,Plastico,46,,,
2712,NORDKISA,196000,4,living,,,,8x9x6,Madera,13,,,
1720,NORDLI,848000,3,dormitorio,Grande,Violeta,Uno de los productos mas vendidos,,,,,,
2733,JÄPPLING,436000,2,living,,,,4x4x4,Organico,10,,,
3550,PAX,1752000,4,dormitorio,Mediano,Verde,Sin descripcion,,,,,,
2900,SKARSTA,800000,4,living,,,,3x8x9,Madera,34,,,
42,NORRÅKER / NORRARYD,1012800,5,living,,,,4x5x3,Madera,2,,,
2520,LIDHULT,3232000,5,living,,,,8x9x8,Plastico,41,,,
2655,LINNMON / ADILS,116000,5,living,,,,3x2x7,Madera,27,,,
391,JONAXEL,16000,2,dormitorio,Pequeño,Violeta,Sin descripcion,,,,,,
2753,KORNSJÖ,156000,3,living,,,,9x5x9,Reciclado,42,,,
3613,PAX,1904000,3,dormitorio,Mediano,Azul,Sin descripcion,,,,,,
3621,PAX,2529600,4,dormitorio,Mediano,Violeta,Sin descripcion,,,,,,
2871,LINNMON / ODDVALD,260000,1,living,,,,9x6x4,Reciclado,21,,,
1925,TROFAST,140000,1,dormitorio,Pequeño,Azul,Uno de los productos mas vendidos,,,,,,
2488,GRÖNLID,372000,4,living,,,,3x5x1,Plastico,36,,,
2438,NORSBORG,1024000,1,living,,,,5x6x1,Organico,37,,,
2765,LISTERBY,396000,1,living,,,,9x9x8,Madera,20,,,
3495,SUNDVIK,876000,4,dormitorio,Grande,Violeta,Uno de los productos mas vendidos,,,,,,
2894,VANGSTA,436000,3,living,,,,6x3x2,Reciclado,12,,,
817,LIXHULT,464000,5,living,,,,5x10x2,Reciclado,47,,,
3047,EKEDALEN,636000,2,living,,,,8x3x10,Madera,42,,,
426,SVALNÄS,56000,5,dormitorio,Grande,Rojo,Uno de los productos mas vendidos,,,,,,
728,SINDVIK,80000,1,dormitorio,Mediano,Azul,Sin descripcion,,,,,,
806,BESTÅ,656000,3,living,,,,9x10x1,Reciclado,50,,,
743,EKET,1008000,3,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
2631,MELLTORP / ADDE,143200,1,living,,,,2x2x1,Madera,39,,,
419,FIXA,4480,2,dormitorio,Grande,Rojo,Sin descripcion,,,,,,
2460,NORSBORG,3376000,3,living,,,,7x7x6,Madera,43,,,
2382,VALLENTUNA,1174400,2,living,,,,3x7x8,Reciclado,48,,,
598,VEBERÖD,516000,4,dormitorio,Mediano,Azul,Sin descripcion,,,,,,
2264,GAMLARP,1916000,2,living,,,,2x7x9,Organico,49,,,
199,FLOTTEBO,1788800,4,dormitorio,Mediano,Azul,Uno de los productos mas vendidos,,,,,,
2626,LYCKSELE MURBO,556000,2,living,,,,1x8x9,Reciclado,3,,,
3393,BESTÅ,384000,2,living,,,,4x4x5,Organico,49,,,
1072,HACKÅS,13600,1,living,,,,1x2x9,Plastico,1,,,
1777,BUSUNGE,316000,1,dormitorio,Grande,Verde,Sin descripcion,,,,,,
2016,GÅRÖ,271200,1,living,,,,1x5x10,Organico,18,,,
2675,LJUV,196000,5,living,,,,10x1x6,Reciclado,31,,,
3392,BESTÅ,120000,1,living,,,,3x5x6,Madera,29,,,
1740,TROFAST,292000,1,dormitorio,Pequeño,Verde,Sin descripcion,,,,,,
945,LIXHULT,672800,2,living,,,,6x8x1,Madera,50,,,
3183,NORRÅKER / NORRARYD,732000,3,living,,,,1x8x9,Plastico,48,,,
3316,BESTÅ,408000,5,living,,,,9x4x6,Madera,38,,,
